MBL-TEXT
StartTime, 2025/01/07, 14/44/00
SamplingRate,500

EVENT, ECG,
0003,155.959,
0000,52.953,
0000,34.335,
0000,53.258,
0000,69.129,
0000,92.172,
0000,8.088,
0000,14.497,
0000,55.852,
0000,69.281,
0000,48.680,
0000,-16.939,
0000,-26.400,
0000,-20.296,
0000,52.800,
0000,68.976,
0000,-38.150,
0000,-64.398,
0000,-55.242,
0000,-35.098,
0000,9.614,
0000,-52.648,
0000,-113.688,
0000,-104.685,
0000,-81.795,
0000,-61.499,
0000,-116.893,
0000,-100.259,
0000,-95.224,
0000,-103.769,
0000,-66.534,
0000,-126.049,
0000,-147.261,
0000,-176.866,
0000,-156.417,
0000,-124.218,
0000,-165.573,
0000,-187.242,
0000,-159.927,
0000,-150.008,
0000,-132.916,
0000,-197.314,
0000,-232.260,
0000,-162.674,
0000,-113.383,
0000,-115.062,
0000,-185.411,
0000,-215.016,
0000,-206.928,
0000,-136.579,
0000,-109.721,
0000,-171.219,
0000,-211.506,
0000,-145.887,
0000,-105.143,
0000,-89.730,
0000,-182.512,
0000,-194.415,
0000,-118.114,
0000,-63.025,
0000,-79.811,
0000,-141.004,
0000,-158.248,
0000,-105.600,
0000,-89.425,
0000,-42.881,
0000,-24.416,
0000,-107.584,
0000,-103.006,
0000,-32.046,
0000,32.657,
0000,-37.845,
0000,-56.005,
0000,-14.802,
0000,20.906,
0000,50.511,
0000,-21.975,
0000,-31.436,
0000,20.449,
0000,70.502,
0000,103.464,
0000,32.046,
0000,19.686,
0000,59.210,
0000,107.584,
0000,119.487,
0000,74.622,
0000,79.048,
0000,82.252,
0000,124.371,
0000,157.485,
0000,74.470,
0000,41.203,
0000,86.983,
0000,149.092,
0000,146.803,
0000,41.508,
0000,51.122,
0000,83.931,
0000,110.179,
0000,129.101,
0000,83.321,
0000,73.554,
0000,95.071,
0000,138.868,
0000,125.591,
0000,81.642,
0000,46.849,
0000,60.430,
0000,112.468,
0000,137.494,
0000,34.793,
0000,28.079,
0000,62.719,
0000,164.963,
0000,123.150,
0000,-5.036,
0000,14.345,
0000,90.035,
0000,118.724,
0000,155.654,
0000,29.757,
0000,-30.368,
0000,83.473,
0000,134.900,
0000,106.058,
0000,64.245,
0000,55.394,
0000,100.565,
0000,130.169,
0000,127.423,
0000,39.829,
0000,42.271,
0000,84.084,
0000,116.588,
0000,116.435,
0000,32.504,
0000,16.939,
0000,73.554,
0000,107.737,
0000,146.193,
0000,62.262,
0000,45.018,
0000,79.658,
0000,121.013,
0000,144.972,
0000,80.269,
0000,66.992,
0000,69.281,
0000,87.441,
0000,93.850,
0000,82.100,
0000,77.369,
0000,104.685,
0000,127.423,
0000,114.146,
0000,23.806,
0000,53.105,
0000,58.904,
0000,152.602,
0000,240.043,
0000,22.890,
0000,-18.923,
0000,78.895,
0000,124.981,
0000,148.634,
0000,44.712,
0000,-15.413,
0000,40.745,
0000,108.347,
0000,121.776,
0000,-13.582,
0000,-37.845,
0000,40.897,
0000,58.294,
0000,101.175,
0000,34.335,
0000,11.293,
0000,47.001,
0000,69.586,
0000,95.224,
0000,18.923,
0000,-22.738,
0000,1.221,
0000,17.244,
0000,54.937,
0000,10.682,
0000,-10.987,
0000,-8.393,
0000,70.960,
0000,111.094,
0000,-8.698,
0000,20.143,
0000,107.737,
0000,137.342,
0000,153.670,
0000,51.885,
0000,29.910,
0000,58.294,
0000,129.712,
0000,179.307,
0000,84.084,
0000,52.648,
0000,99.191,
0000,125.591,
0000,203.113,
0000,141.309,
0000,99.649,
0000,100.565,
0000,160.232,
0000,135.663,
0000,49.138,
0000,86.373,
0000,154.738,
0000,170.914,
0000,164.657,
0000,77.369,
0000,69.129,
0000,130.169,
0000,198.077,
0000,185.869,
0000,94.918,
0000,78.590,
0000,93.850,
0000,105.448,
0000,157.333,
0000,121.471,
0000,37.387,
0000,32.504,
0000,83.015,
0000,36.014,
0000,-138.868,
0000,-236.685,
0000,-273.157,
0000,-336.640,
0000,-437.052,
0000,-552.419,
0000,-642.149,
0000,-659.698,
0000,-552.877,
0000,-515.947,
0000,-555.013,
0000,-419.503,
0000,-325.805,
0000,-132.458,
0000,63.330,
0000,46.544,
0000,87.746,
0000,189.532,
0000,262.475,
0000,260.491,
0000,209.370,
0000,214.558,
0000,209.370,
0000,185.259,
0000,147.108,
0000,66.077,
0000,40.134,
0000,72.791,
0000,98.276,
0000,93.240,
0000,43.644,
0000,22.738,
0000,25.485,
0000,44.407,
0000,97.818,
0000,9.614,
0000,-13.734,
0000,15.413,
0000,51.579,
0000,78.590,
0000,-15.718,
0000,-66.077,
0000,-59.210,
0000,33.725,
0000,80.726,
0000,-3.357,
0000,-46.086,
0000,-20.754,
0000,-25.790,
0000,44.560,
0000,86.220,
0000,-11.750,
0000,1.831,
0000,30.520,
0000,60.278,
0000,-30.063,
0000,-49.748,
0000,6.714,
0000,22.127,
0000,10.072,
0000,-94.613,
0000,-119.029,
0000,-73.096,
0000,5.188,
0000,30.368,
0000,-103.006,
0000,-123.302,
0000,-79.048,
0000,-30.826,
0000,-2.442,
0000,-86.983,
0000,-117.351,
0000,-107.279,
0000,-55.089,
0000,-58.447,
0000,-160.232,
0000,-158.096,
0000,-159.469,
0000,-104.685,
0000,-88.814,
0000,-184.801,
0000,-204.944,
0000,-210.285,
0000,-163.742,
0000,-148.176,
0000,-201.282,
0000,-219.289,
0000,-234.702,
0000,-179.155,
0000,-123.913,
0000,-256.066,
0000,-295.895,
0000,-238.822,
0000,-210.285,
0000,-184.190,
0000,-276.515,
0000,-298.184,
0000,-296.811,
0000,-252.403,
0000,-188.158,
0000,-264.001,
0000,-345.338,
0000,-271.784,
0000,-232.413,
0000,-205.402,
0000,-297.574,
0000,-330.688,
0000,-280.330,
0000,-222.494,
0000,-195.025,
0000,-269.800,
0000,-260.491,
0000,-221.731,
0000,-202.350,
0000,-182.970,
0000,-258.202,
0000,-240.806,
0000,-157.027,
0000,-153.670,
0000,-144.972,
0000,-227.224,
0000,-220.052,
0000,-151.534,
0000,-91.561,
0000,-52.342,
0000,-185.716,
0000,-209.675,
0000,-145.430,
0000,-91.103,
0000,-79.963,
0000,-168.625,
0000,-135.053,
0000,-58.294,
0000,-13.734,
0000,-27.621,
0000,-128.338,
0000,-41.660,
0000,29.452,
0000,18.465,
0000,39.066,
0000,-19.075,
0000,-62.719,
0000,-6.409,
0000,83.778,
0000,94.766,
0000,-43.797,
0000,-28.384,
0000,33.572,
0000,69.129,
0000,45.323,
0000,-83.321,
0000,-52.953,
0000,10.377,
0000,36.777,
0000,52.190,
0000,-42.881,
0000,-58.904,
0000,-0.153,
0000,75.843,
0000,93.698,
0000,2.136,
0000,-16.023,
0000,7.325,
0000,65.619,
0000,119.182,
0000,-28.231,
0000,-34.183,
0000,2.289,
0000,85.152,
0000,104.532,
0000,12.666,
0000,-33.725,
0000,-14.192,
0000,12.361,
0000,42.271,
0000,13.124,
0000,-12.513,
0000,-18.160,
0000,34.488,
0000,70.044,
0000,-19.533,
0000,-25.485,
0000,20.449,
0000,80.116,
0000,78.743,
0000,-26.400,
0000,-39.524,
0000,43.186,
0000,70.960,
0000,58.904,
0000,-4.273,
0000,20.601,
0000,42.576,
0000,84.999,
0000,88.814,
0000,-7.020,
0000,-12.513,
0000,58.447,
0000,86.067,
0000,87.288,
0000,-7.783,
0000,12.361,
0000,39.676,
0000,47.307,
0000,92.172,
0000,24.264,
0000,16.786,
0000,58.294,
0000,66.992,
0000,87.746,
0000,-4.273,
0000,-21.212,
0000,26.095,
0000,80.421,
0000,82.405,
0000,33.725,
0000,3.815,
0000,14.039,
0000,73.707,
0000,105.906,
0000,13.276,
0000,16.939,
0000,10.224,
0000,51.274,
0000,111.247,
0000,0.305,
0000,-48.833,
0000,-3.968,
0000,48.833,
0000,81.032,
0000,-35.251,
0000,-50.511,
0000,-32.046,
0000,58.904,
0000,87.136,
0000,-63.025,
0000,-74.622,
0000,-19.686,
0000,18.160,
0000,50.664,
0000,-65.771,
0000,-54.021,
0000,-39.829,
0000,38.608,
0000,64.551,
0000,-32.657,
0000,-35.861,
0000,9.461,
0000,56.768,
0000,110.942,
0000,59.210,
0000,21.975,
0000,53.258,
0000,123.150,
0000,146.345,
0000,11.293,
0000,20.296,
0000,86.067,
0000,98.276,
0000,123.760,
0000,50.053,
0000,45.781,
0000,64.703,
0000,122.845,
0000,165.268,
0000,84.999,
0000,64.856,
0000,93.850,
0000,141.615,
0000,149.702,
0000,82.405,
0000,43.949,
0000,60.278,
0000,108.195,
0000,160.842,
0000,67.297,
0000,70.197,
0000,87.593,
0000,122.539,
0000,147.566,
0000,67.908,
0000,58.904,
0000,79.200,
0000,93.850,
0000,95.376,
0000,-36.930,
0000,-68.366,
0000,-65.161,
0000,-77.827,
0000,-166.336,
0000,-296.048,
0000,-421.334,
0000,-537.922,
0000,-551.808,
0000,-547.536,
0000,-640.928,
0000,-656.341,
0000,-613.765,
0000,-530.291,
0000,-425.454,
0000,-393.408,
0000,-228.598,
0000,4.120,
0000,128.033,
0000,175.645,
0000,146.498,
0000,222.951,
0000,224.020,
0000,281.703,
0000,319.548,
0000,152.602,
0000,93.698,
0000,123.150,
0000,130.017,
0000,84.999,
0000,-14.345,
0000,2.442,
0000,47.001,
0000,103.159,
0000,116.435,
0000,-11.598,
0000,-14.192,
0000,34.641,
0000,80.421,
0000,84.084,
0000,3.662,
0000,-6.409,
0000,23.348,
0000,45.323,
0000,86.067,
0000,-13.276,
0000,-33.267,
0000,-11.140,
0000,38.761,
0000,90.798,
0000,-0.763,
0000,-50.816,
0000,-6.409,
0000,22.280,
0000,55.394,
0000,-11.750,
0000,-38.303,
0000,-30.978,
0000,13.276,
0000,17.244,
0000,-69.586,
0000,-127.270,
0000,-53.563,
0000,4.578,
0000,-2.594,
0000,-89.425,
0000,-92.324,
0000,-59.057,
0000,6.257,
0000,18.160,
0000,-103.006,
0000,-121.471,
0000,-44.560,
0000,-30.215,
0000,-52.648,
0000,-113.383,
0000,-136.121,
0000,-148.176,
0000,-71.265,
0000,-38.150,
0000,-157.485,
0000,-183.122,
0000,-123.455,
0000,-70.502,
0000,-80.879,
0000,-187.700,
0000,-197.314,
0000,-171.982,
0000,-128.033,
0000,-110.942,
0000,-205.250,
0000,-234.854,
0000,-216.695,
0000,-170.456,
0000,-207.539,
0000,-298.489,
0000,-289.944,
0000,-232.260,
0000,-202.808,
0000,-231.955,
0000,-331.604,
0000,-289.181,
0000,-238.822,
0000,-225.851,
0000,-237.143,
0000,-319.701,
0000,-267.358,
0000,-218.526,
0000,-225.240,
0000,-223.562,
0000,-295.742,
0000,-272.242,
0000,-225.393,
0000,-204.487,
0000,-203.571,
0000,-294.369,
0000,-253.166,
0000,-209.370,
0000,-213.795,
0000,-150.618,
0000,-220.357,
0000,-234.549,
0000,-187.395,
0000,-137.036,
0000,-79.506,
0000,-185.564,
0000,-190.600,
0000,-126.812,
0000,-60.278,
0000,-66.992,
0000,-152.907,
0000,-147.566,
0000,-93.392,
0000,-46.849,
0000,15.108,
0000,-78.285,
0000,-92.477,
0000,-68.060,
0000,-10.835,
0000,9.919,
0000,-90.188,
0000,-64.551,
0000,17.702,
0000,45.933,
0000,24.874,
0000,-23.806,
0000,-6.562,
0000,51.122,
0000,106.516,
0000,97.360,
0000,-37.540,
0000,28.079,
0000,65.161,
0000,97.513,
0000,92.782,
0000,-51.732,
0000,-39.219,
0000,13.887,
0000,65.161,
0000,76.454,
0000,1.221,
0000,-32.504,
0000,31.589,
0000,73.096,
0000,88.509,
0000,-19.075,
0000,17.244,
0000,77.827,
0000,87.593,
0000,79.811,
0000,-19.838,
0000,-11.903,
0000,12.666,
0000,71.265,
0000,52.800,
0000,-18.923,
0000,-22.127,
0000,21.975,
0000,55.394,
0000,41.966,
0000,-23.806,
0000,2.136,
0000,53.105,
0000,33.115,
0000,49.290,
0000,-14.345,
0000,10.682,
0000,45.781,
0000,83.473,
0000,73.249,
0000,-0.916,
0000,7.477,
0000,48.680,
0000,67.603,
0000,68.518,
0000,-12.208,
0000,13.429,
0000,5.036,
0000,59.820,
0000,96.444,
0000,16.328,
0000,-28.079,
0000,53.105,
0000,96.139,
0000,106.211,
0000,-5.799,
0000,-2.289,
0000,17.397,
0000,61.651,
0000,103.769,
0000,-2.899,
0000,-27.011,
0000,22.127,
0000,70.044,
0000,93.698,
0000,9.309,
0000,9.004,
0000,40.439,
0000,94.461,
0000,131.695,
0000,-35.098,
0000,-21.364,
0000,32.657,
0000,80.726,
0000,57.989,
0000,-57.531,
0000,-4.120,
0000,26.705,
0000,79.200,
0000,63.330,
0000,-65.314,
0000,-38.608,
0000,32.962,
0000,83.626,
0000,54.784,
0000,-47.459,
0000,-56.310,
0000,-14.802,
0000,29.605,
0000,35.404,
0000,-51.885,
0000,-65.008,
0000,-17.397,
0000,-13.276,
0000,7.172,
0000,-79.811,
0000,-103.922,
0000,-30.978,
0000,80.269,
0000,74.470,
0000,-23.348,
0000,-16.328,
0000,19.533,
0000,85.915,
0000,144.056,
0000,67.908,
0000,48.375,
0000,73.096,
0000,106.364,
0000,139.783,
0000,45.933,
0000,26.553,
0000,80.574,
0000,151.534,
0000,167.557,
0000,48.070,
0000,6.714,
0000,72.638,
0000,142.835,
0000,160.842,
0000,43.186,
0000,44.865,
0000,84.084,
0000,134.442,
0000,126.812,
0000,48.527,
0000,28.231,
0000,97.513,
0000,122.081,
0000,158.401,
0000,44.865,
0000,29.757,
0000,76.606,
0000,124.065,
0000,145.582,
0000,20.601,
0000,1.373,
0000,7.630,
0000,26.095,
0000,28.231,
0000,-148.939,
0000,-234.396,
0000,-282.771,
0000,-349.763,
0000,-469.098,
